time_s,voltage_v,resistance_ohms
0,3.2,1779.89
1,3.37,2072.07
2,3.04,1551.12
3,3,1501.22
4,3.01,1513.51
5,3.04,1551.12
6,3.07,1589.87
7,3.07,1589.87
8,3.34,2008.82
9,3.35,2026.63
10,3.34,2008.82
11,3.37,2072.07
12,3.32,1973.84
13,3.33,1991.23
14,3.05,1563.91
15,3.05,1570.35
16,3.02,1525.93
17,2.94,1429.93
18,3.39,2109.42
19,3.34,2017.7
20,3.32,1982.51
21,3.37,2062.87
22,3.36,2044.64
23,3.35,2035.61
24,3.3,1948.13
25,3.26,1865.55
26,3.23,1825.97
27,3.25,1849.58
28,3.47,2268.37
29,3.39,2100
30,3.45,2216.98
